,Open,High,Low,Close,Volume,Close time
0,0.7233,0.83,0.6134,0.6421,19315462.7,2021-09-12 23:59:59.999
1,0.6428,0.89,0.6428,0.6804,153710205.2,2021-09-19 23:59:59.999
2,0.6798,0.719,0.5072,0.5772,47342469.6,2021-09-26 23:59:59.999
3,0.5769,0.8505,0.5091,0.8326,170142365.8,2021-10-03 23:59:59.999
4,0.8321,1.08,0.7669,0.7869,139431571.5,2021-10-10 23:59:59.999
5,0.7879,0.8203,0.6733,0.6918,66885862.4,2021-10-17 23:59:59.999
6,0.6918,0.84,0.6603,0.7016,81717773.5,2021-10-24 23:59:59.999
7,0.7024,0.756,0.5875,0.7085,58544656.3,2021-10-31 23:59:59.999
8,0.7085,0.7656,0.6662,0.689,38309569.5,2021-11-07 23:59:59.999
9,0.6887,0.7375,0.621,0.6568,32681043.9,2021-11-14 23:59:59.999
10,0.6575,0.8933,0.5963,0.7647,378289135.5,2021-11-21 23:59:59.999
11,0.7646,0.9453,0.6955,0.855,165818619.9,2021-11-28 23:59:59.999
12,0.8554,0.8699,0.4544,0.5519,64948265.1,2021-12-05 23:59:59.999
13,0.5519,0.6602,0.4862,0.5433,87609868.4,2021-12-12 23:59:59.999
14,0.5433,0.59,0.4671,0.4884,42432286.5,2021-12-19 23:59:59.999
15,0.4884,0.5672,0.4624,0.5468,22938157.8,2021-12-26 23:59:59.999
16,0.5478,0.66,0.466,0.5872,92938692.1,2022-01-02 23:59:59.999
17,0.5871,0.625,0.45,0.4952,94698100.9,2022-01-09 23:59:59.999
18,0.4951,0.541,0.4484,0.504,29186161.3,2022-01-16 23:59:59.999
19,0.5047,0.5051,0.2939,0.36,38941706.0,2022-01-23 23:59:59.999
20,0.3596,0.3968,0.3076,0.3802,34741867.6,2022-01-30 23:59:59.999
21,0.3795,0.5506,0.3667,0.5075,69258712.0,2022-02-06 23:59:59.999
22,0.5069,0.5118,0.416,0.4307,26736990.0,2022-02-13 23:59:59.999
23,0.4306,0.456,0.3645,0.3735,16223987.4,2022-02-20 23:59:59.999
24,0.3734,0.427,0.3002,0.3703,56430296.2,2022-02-27 23:59:59.999
25,0.3702,0.5343,0.3588,0.3996,100713886.6,2022-03-06 23:59:59.999
26,0.3998,0.43,0.3683,0.3695,30507834.2,2022-03-13 23:59:59.999
27,0.369,0.4443,0.367,0.4103,35402824.7,2022-03-20 23:59:59.999
28,0.4104,0.4913,0.3944,0.4882,29511553.1,2022-03-27 23:59:59.999
29,0.4881,0.5781,0.4647,0.5464,42224414.7,2022-04-03 23:59:59.999
30,0.5464,0.5515,0.4141,0.418,24250930.3,2022-04-10 23:59:59.999
31,0.4174,0.486,0.3732,0.4069,63964998.2,2022-04-17 23:59:59.999
32,0.4074,0.5271,0.3805,0.4216,75834771.3,2022-04-24 23:59:59.999
33,0.4214,0.422,0.3286,0.3499,31813330.1,2022-05-01 23:59:59.999
34,0.35,0.379,0.2959,0.3022,39882841.8,2022-05-08 23:59:59.999
35,0.3017,0.3037,0.143,0.2239,71571447.2,2022-05-15 23:59:59.999
36,0.2241,0.2652,0.2021,0.2601,44596210.9,2022-05-22 23:59:59.999
37,0.2599,0.2685,0.2138,0.2257,25265998.8,2022-05-29 23:59:59.999
38,0.2259,0.2849,0.2225,0.2645,63143981.4,2022-06-05 23:59:59.999
0,0.2644,0.3356,0.1943,0.1972,81462353.5,2022-06-12 23:59:59.999000
